Real_Date,val,RegionName,field,RegionLat,RegionLon,source,Real_Date
2016-06-08,20.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-06-08
2016-07-08,33.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-07-08
2016-08-07,20.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-08-07
2016-09-11,35.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-09-11
2016-10-11,18.0,Addis Ababa,forecast_hmis_indicator_3201,8.98048300125,38.7855383451,forecast,2016-10-11
2014-09-11,8.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2014-09-11
2014-10-11,3.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2014-10-11
2014-11-10,5.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2014-11-10
2014-12-10,5.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2014-12-10
2015-01-09,10.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-01-09
2015-02-08,4.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-02-08
2015-03-10,5.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-03-10
2015-04-09,10.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-04-09
2015-05-09,9.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-05-09
2015-06-08,6.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-06-08
2015-07-08,6.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-07-08
2015-08-07,11.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-08-07
2015-09-12,18.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-09-12
2015-10-12,9.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-10-12
2015-11-11,7.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-11-11
2015-12-11,5.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2015-12-11
2016-01-10,14.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-01-10
2016-02-09,26.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-02-09
2016-03-10,19.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-03-10
2016-04-09,31.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-04-09
2016-05-09,11.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-05-09
2016-06-08,22.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-06-08
2016-07-08,15.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-07-08
2016-08-07,22.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-08-07
2016-09-11,16.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-09-11
2016-10-11,10.0,Addis Ababa,forecast_hmis_indicator_3202,8.98048300125,38.7855383451,forecast,2016-10-11
2014-09-11,105.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2014-09-11
2014-10-11,121.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2014-10-11
2014-11-10,120.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2014-11-10
2014-12-10,134.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2014-12-10
2015-01-09,162.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-01-09
2015-02-08,117.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-02-08
2015-03-10,177.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-03-10
2015-04-09,240.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-04-09
2015-05-09,163.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-05-09
2015-06-08,154.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-06-08
2015-07-08,209.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-07-08
2015-08-07,206.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-08-07
2015-09-12,233.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-09-12
2015-10-12,220.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-10-12
2015-11-11,227.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-11-11
2015-12-11,229.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2015-12-11
2016-01-10,266.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-01-10
2016-02-09,250.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-02-09
2016-03-10,239.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-03-10
2016-04-09,240.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-04-09
2016-05-09,195.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-05-09
2016-06-08,259.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-06-08
2016-07-08,317.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-07-08
2016-08-07,261.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-08-07
2016-09-11,352.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-09-11
2016-10-11,226.0,Addis Ababa,forecast_hmis_indicator_3203,8.98048300125,38.7855383451,forecast,2016-10-11
2014-09-11,53.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2014-09-11
2014-10-11,69.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2014-10-11
2014-11-10,63.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2014-11-10
2014-12-10,72.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2014-12-10
2015-01-09,91.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-01-09
2015-02-08,55.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-02-08
2015-03-10,97.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-03-10
2015-04-09,94.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-04-09
2015-05-09,72.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-05-09
2015-06-08,63.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-06-08
2015-07-08,78.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-07-08
2015-08-07,163.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-08-07
2015-09-12,77.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-09-12
2015-10-12,77.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-10-12
2015-11-11,92.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-11-11
2015-12-11,84.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2015-12-11
2016-01-10,97.0,Addis Ababa,forecast_hmis_indicator_3204,8.98048300125,38.7855383451,forecast,2016-01-10
